Tickets: 6016
Sets: 420

+-------------------------------------------------------------+-----+----+----+----+----+----+------+
|                             addr                            |  1  | 2  | 3  | 4  | 5  | 6  | sets |
| stake1u8nn8vkc4lsnqa3tl88hr3kn3xmnm0p6n56cpuu0fu0esvsw8e7f2 |  9  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8p38qy82hnkkkkgpacn2702rgu9rht6lly5vu0l3jntkngnze95f |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8p623zj4ssejezy04agtw0l5u4wthswdfy72czcxpqhldsp9qcwm |  9  | 0  | 0  | 1  | 0  | 0  |  0   |
| stake1u8p7x70dzlm39fenlhxxeg04jr0crs6fhk70l6n43ztwwvg3te96r |  4  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8pyaffnvcvzu29v6nzr8e4dx056pv7a3j0zf6utw3yudugssfm89 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8q568tvxsaw9evsvc9aplxm4jnc07udl86dw2mpp29cqegp2l5j4 |  6  | 5  | 6  | 5  | 5  | 5  |  5   |
| stake1u8qr7lcct8vl62fg9f5fn7j40evkzszlz9h5ug56grqfwjqe0cpf9 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8r6dstektn7lgguml2wxnfqkykygcz0s6u4m483kvdx5xg7n2wrm |  20 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8rk2w37fkmrcylqh9jj6stamyav6c6570ydfrzgsaler4qraml67 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8s88lzz4tjscv29p2vwucsv4t8d43lzn437s5zjwcsjm3gdtlhef |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8swlg78g64yjkmxhq5d05as247ln3efzgpwrml4andlq9gd5w9p0 |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8sz0qlt6d7y74nmn82qjjvm29egyngrzcqnv2g322g00hgkagk3p |  1  | 2  | 1  | 0  | 0  | 0  |  0   |
| stake1u8u0pevc8whzjd0gw5077g3yv8cfk2gpl8xskzdz4ffdltqcj3fun |  1  | 2  | 1  | 2  | 12 | 10 |  3   |
| stake1u8uh9ee20e3737zcjgatdxwf54p9ct8dfxqqjmdksm5mujqawuwfh |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u8wdq362zrkqklhewvh9dppaegms8kj8fmu43g6e7dk5elcfw5mq3 |  10 | 4  | 2  | 0  | 1  | 0  |  0   |
