addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook575 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook621 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook852 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook1002 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook1004 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook1039 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook1162 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook1221 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook1395 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook1873 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook198 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook295 
addr1qxjcytuqp64yg6w6qd369ewdxx9l9ecxa9x4h9204nl499fdtnfxyex3qjhty0c7ypxu6qywkrdwq94un604yxwkwk5snpwa35: RaffleforUkraineOGBook408 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook1124 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook1369 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook163 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook1749 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook1789 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook1867 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook554 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook561 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook673 
addr1qyap677j9wssnsj8346yw3gsvrw2ru64d2el393fu7zh7tx3fcac07wwgdw30e2su0fpxnr4grzlr0uuwnr77fwf07jswl4maa: RaffleforUkraineOGBook775 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook1069 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook1083 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook1316 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook1646 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook1850 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook228 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook463 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook538 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook629 
addr1qxjmak9gtrwvf74fxnpantdwjuzv3swm7w0y0exqrvmku95m94h7ya8ghwk3tsrvulyhsw5w63cys7vf4k09kl7m3jmqkdlsxq: RaffleforUkraineOGBook856 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1130 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1431 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1857 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1896 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook291 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook294 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook389 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook602 
